Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.16/act/Mul,Mul,102400,0.00%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.17/Concat,Concat,0,0.00%,1228800,0.47%,0,0.00%,1x64x40x40,1x192x40x40
/model.18/cv1/conv/Conv,Conv,39526400,0.81%,918016,0.35%,24704,0.78%,1x192x40x40,1x128x40x40
/model.18/cv1/act/Sigmoid,Sigmoid,6553600,0.13%,819200,0.31%,0,0.00%,1x128x40x40,1x128x40x40
/model.18/cv1/act/Mul,Mul,204800,0.00%,819200,0.31%,0,0.00%,1x128x40x40,1x128x40x40
/model.18/Split,Split,0,0.00%,819200,0.31%,0,0.00%,1x128x40x40,1x64x40x40
/model.18/m.0/cv1/conv/Conv,Conv,59084800,1.21%,557312,0.21%,36928,1.17%,1x64x40x40,1x64x40x40
/model.18/m.0/cv1/act/Sigmoid,Sigmoid,3276800,0.07%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.18/m.0/cv1/act/Mul,Mul,102400,0.00%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.18/m.0/cv2/conv/Conv,Conv,59084800,1.21%,557312,0.21%,36928,1.17%,1x64x40x40,1x64x40x40
/model.18/m.0/cv2/act/Sigmoid,Sigmoid,3276800,0.07%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.18/m.0/cv2/act/Mul,Mul,102400,0.00%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.18/Concat,Concat,0,0.00%,1228800,0.47%,0,0.00%,1x64x40x40,1x192x40x40
/model.18/cv2/conv/Conv,Conv,39526400,0.81%,918016,0.35%,24704,0.78%,1x192x40x40,1x128x40x40
/model.18/cv2/act/Sigmoid,Sigmoid,6553600,0.13%,819200,0.31%,0,0.00%,1x128x40x40,1x128x40x40
/model.18/cv2/act/Mul,Mul,204800,0.00%,819200,0.31%,0,0.00%,1x128x40x40,1x128x40x40
/model.19/conv/Conv,Conv,59033600,1.21%,795136,0.30%,147584,4.68%,1x128x40x40,1x128x20x20
/model.19/act/Sigmoid,Sigmoid,1638400,0.03%,204800,0.08%,0,0.00%,1x128x20x20,1x128x20x20
/model.19/act/Mul,Mul,51200,0.00%,204800,0.08%,0,0.00%,1x128x20x20,1x128x20x20
/model.20/Concat,Concat,0,0.00%,614400,0.23%,0,0.00%,1x128x20x20,1x384x20x20
/model.21/cv1/conv/Conv,Conv,39424000,0.81%,803840,0.31%,98560,3.13%,1x384x20x20,1x256x20x20
/model.21/cv1/act/Sigmoid,Sigmoid,3276800,0.07%,409600,0.16%,0,0.00%,1x256x20x20,1x256x20x20
/model.21/cv1/act/Mul,Mul,102400,0.00%,409600,0.16%,0,0.00%,1x256x20x20,1x256x20x20
/model.21/Split,Split,0,0.00%,409600,0.16%,0,0.00%,1x256x20x20,1x128x20x20
/model.21/m.0/cv1/conv/Conv,Conv,59033600,1.21%,795136,0.30%,147584,4.68%,1x128x20x20,1x128x20x20
/model.21/m.0/cv1/act/Sigmoid,Sigmoid,1638400,0.03%,204800,0.08%,0,0.00%,1x128x20x20,1x128x20x20
/model.21/m.0/cv1/act/Mul,Mul,51200,0.00%,204800,0.08%,0,0.00%,1x128x20x20,1x128x20x20
/model.21/m.0/cv2/conv/Conv,Conv,59033600,1.21%,795136,0.30%,147584,4.68%,1x128x20x20,1x128x20x20
/model.21/m.0/cv2/act/Sigmoid,Sigmoid,1638400,0.03%,204800,0.08%,0,0.00%,1x128x20x20,1x128x20x20
/model.21/m.0/cv2/act/Mul,Mul,51200,0.00%,204800,0.08%,0,0.00%,1x128x20x20,1x128x20x20
/model.21/Concat,Concat,0,0.00%,614400,0.23%,0,0.00%,1x128x20x20,1x384x20x20
/model.21/cv2/conv/Conv,Conv,39424000,0.81%,803840,0.31%,98560,3.13%,1x384x20x20,1x256x20x20
